,用户ID,评论内容,手机型号
162,17338488129.0,"外形外观：非常的酷，这个墨羽有光的时候看着很好看
屏幕音效：2k的屏幕非常的清晰，音效跟个小音响一样，很酷
拍照效果：1亿像素是真的清晰，真的！
运行速度：天机9000确实运行很快，再加上120Hz的高刷，非常的流畅
待机时间：一天轻轻松松
其他特色：3K多的价位在这个价位性价超高，买的很值，红米给力",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
163,17311074321.0,"外形外观：银色的是真的好看，有种商务和大气的感觉，很中正，比黑色的好看多了，个人认为银色是所有色系中最耐看的
屏幕音效：屏幕没的黑，2k E4屏，显示效果非常细腻，隔壁真我无论堆料多猛，都比不过这2k屏来的实在。
拍照效果：虽然比不上顶级旗舰拍照机，但也很好了，远超扫码的需求，108p的摄像头虽然是个噱头，但也有光学防抖，其实成像效果也挺好的。
运行速度：12g内存，运行很快，很流畅，现在手机8g都属于低配了，12g应该算是正好吧
其他特色：吹一波处理器吧，9000是真的稳，比骁龙888的发热量低太多了，日常使用丝滑流畅感觉不到温度，打游戏比如王者也不怎么躺120帧全开打了一个多小时电量也就消耗20%左右，也不算烫，全程最低118左右上下浮动。很强，充电也贼快毕竟120w，总之红米k50p给我的体验还是很好的，如果手头不是很紧建议上pro的，有更好的摄像头有更好的充电水准！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
164,17328483122.0,收到货啦。物流很快就到了 很不错的一次购物体验 整款手机设计特别好看，指纹解锁在锁屏键上，解锁也很灵敏我觉得很人性化 音质也很优秀，屏幕清晰度是真的很好，亮度也很柔和这款真的是物超所值 性价比超高，使用的天玑9000处理器，超值,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
165,17327738082.0,"外形外观：墨羽配色阳光下还是很好看的，摄像头模组也没有歪?
运行速度：12g确实好多了，杀后台也不多，开十几个日用也很流畅

待机时间：新手机续航还是很顶的

其他特色：这个手机的屏幕素质很好就是120＋dc不能同时，等后续ota吧",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
166,17310384947.0,充电速度相当快，散热也很好，平均温度也就42度左右。极致性价比，看好K系列。手感稍微有点沉，但能接受毕竟是5000毫安时的电池。续航相当给力。极致性价比，看好K系列。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
167,17378079431.0,新款外观漂亮，颜色很亮养眼好看，配置足够日常使用，配套里面有个手机壳必须好评，120w超快充保证充电速度，小米的****也很好用，满意的一次换机体验！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
168,17317086085.0,"这手机用的是真的流畅，我之前的K20Pro已经用了两年多了，这次红米出新品又买了，主要是发哥的天玑9000是真的给力，120W充电也很爽，最舒服的就是屏幕了，2k120，用着是真的爽，色彩也很好。我平时打打lol手游稳定60帧，基本也没啥发热的感觉，话说这游戏啥时候开90帧啊。
小组件也很有意思，要是MIUI 13广告能少点就完美了",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
169,17328398838.0,"外形外观：大气  很美观

屏幕音效：2K 屏  效果杠杠的
运行速度：很丝滑   玩游戏一点也不卡祯
待机时间：120W充电贼快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
170,17307136986.0,通信音质：非常棒真的非常棒这个价格体验爆棚，屏幕惊艳，最牛的充电器，真沉啊，不愧120w，超级快充就是牛，测试了一下19分钟不到充满了，哈哈这能吹一整天，可能是我装的东西多，评分测试刚刚过100万，不过两个小时游戏结束，发热散热真给力，这是用过最冷静的小米，哈哈给力，支持支持,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
171,17323977007.0,手机充电更快，20份钟不到就从20%充到100%，充电速度快到惊人，不愧是120W，超级快充就是牛，充一次电，可以用上一天待机时间长,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
172,17376096122.0,"外形外观：漂亮，有点厚重，毕竟5000毫安电池！
屏幕音效：流畅，清晰，杜比全景声，立体，声音够大！
拍照效果：一亿像素，可以的！
运行速度：运行流畅不卡顿。
待机时间：电池挺耐用的，充电速度快，120瓦快充，很给力！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
173,17328375537.0,"年前就想给老婆大人换个手机了，挑来挑去没有遇到合适的的。偶然间刷到这款新上市的小米手机，果断出手。京东物流真快，昨天下单，今天就收到了宝贝。老婆拿到手机后，迫不及待的打开了手机。
炫酷的机身，握手舒适感超赞。2K屏幕显示画面.120W的快充.拍照.听音乐.刷视频.打王者&hellip;&hellip;
一次物超所值的购物体验。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
174,17308753216.0,"拍照效果：效果还行，买给爸妈用的
运行速度：很快，不卡
外形外观：外观也漂亮",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
175,17308821366.0,"外形外观：银迹是4款颜色中最好看
屏幕音效：屏幕2K很好，音效差个认证
拍照效果：扫码就行了，夜晚成像能够接受
运行速度：快，真的快，天玑9000玩游戏处理很好
待机时间：5000mah大电量，满足一天待机，还支持120W快充",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
176,17328660982.0,"手机上手感觉很OK，玩游戏高刷＋天玑9000很强，体验很棒，120W充电真是意想不到的快，非常稀少的5000毫安续航棒棒哒。拍照效果也很好，这个配色很喜欢！
屏幕音效：2K高刷屏体验很不错
运行速度：天玑9000多开很流畅
待机时间：还不错，主要回血太快了！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
177,17286580436.0,大小合适，反应速度很快，质感也非常不错，性价比可以说超好！估计用个4年左右毫无压力！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
178,17341800771.0,"女生，觉得很喜欢。因为想要快充和好的照相，所以买了pro.屏幕大而清晰，我不打游戏，充电什么的，平时也不怎么热。
好多年没用过miui，做的还挺便捷的 小插件超可爱实用
早上随手拍了小区的樱花?感觉颜色很正",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
179,17344557795.0,"外形外观：银色外观很漂亮时尚
屏幕音效：音效还可以
拍照效果：拍照不错，满足日常使用
运行速度：天玑9000运行速度很快
待机时间：待机时间正常一天一充
其他特色：120W充电速度很给力，随时满血复活，不耽误开黑!主要喜欢MIUI的应用分身功能，支持所有第三方应用，不需要下载分身助手，确实很方便!总体很满意～",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
180,17374819030.0,"屏幕音效：这次屏幕升级2k玩游戏和看视频真的很细腻，非常喜欢现在这手机，比起前代真的是大升级。
待机时间：手机电池容量大在加上天玑9000处理器的加持，使用比起前代好太多，而且还有120w快充非常nice",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
181,17370466117.0,种草了很久的k50pro终于到手了，开箱体验很满意，120w快充无敌的存在，亲测20多分钟充满，只需要个洗漱时间就可以满足一天的轻度使用，即使重度使用，快充的加持绝对让你方便出行永远比别人多30%信心，而且再也不用晚上整宿的充电，生活更加安全。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
182,17358655712.0,手机终于到货了，特地用了几天才来评价，手机双音响很给力，120w那个充电快充非常快，十来分钟就充满了，偶尔玩下游戏，玩游戏的时候手机也不烫， 我只开一个游戏， 对于我来说性价比超 高了，平时工作用的时候老是要切换软件， 这个用来切换超快， 还可以分期24期， 给个赞?,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
183,17314824220.0,"屏幕非常清晰，是我买过3000元以下最好的屏幕，
外形外观：外观感觉很霸气
屏幕音效：音效比我上个mate30强得多。
拍照效果：拍照很清晰，但调色还需要继续优化。
运行速度：天玑9000没得说，真快，比骁龙870快的多，和麒麟990更不是一个档位。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
184,17290555995.0,"天玑9000yyds，红米yyds！
外形外观：相当漂亮，要是做到小米旗舰机的颜值，我出一代买一代
屏幕音效：音质比较之前的K40又提升了不少
拍照效果：一亿像素真的好用！
运行速度：120Hz没啥好说了
待机时间：5000大电池，再也不担心出远门了",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
185,17303478951.0,红米K50pro很好啊，屏幕，摄像头，充电升级好大，这手机太值，挺符合预期的，走过路过不能错过，必须买买买，非常喜欢的说，赞赞赞！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
186,17290603191.0,天玑9000果然非常强悍，性能足够了，pro版本优势在于充电120w真快，摄像头，分期24，拿来当副机非常有性价比，建议买8+256或12+256即可。红米抬高了中端安卓手机的屏幕水准。年度性价比之王。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
187,17287164471.0,首发冲了，屏幕很出乎意料啊，三星2k屏幕太赞了。外观也很不错，黑色在灯光下效果很不错。从苹果换过来，充电速度提升巨大，十几分钟几乎充满。最后就是发哥9000处理器，打了两把王者流畅度和发热都很满意。准备用一段时间再追评，看看日常使用到底如何,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
188,17328338392.0,"外形外观：手感不错，外观非常好看

拍照效果：拍照效果：一亿像素 像素很清晰，很好看

待机时间：待机时间长，超大电池",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
189,17317377685.0,好好好，性价比非常高，天鸡9000无敌的存在，买来当备用机的有dc调光适合晚上使用，而且找网上教程可以2k+120hz+dc调光三开，之前一直使用三星手机就为了三星屏幕拍照外放的，用了几天这款手机感觉和三星差距也没那么大，而且这款手机打王者非常流畅发热比888低好多全特效稳定90针，还有很多很多优点比我的三星s21u好的多了。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
190,17352636364.0,收到K50 Pro手机，果真没让我失望！120W闪冲和5000hAm大电量组合，冲电速度让人惊叹，不到20分钟能冲电100%。而且有极速拍照功能，瞬间拍照就靠它了，而且像素加倍，清晰加倍。拍出的照片简直完美的不得了。手机厚度仅为8.48mm。轻薄方便携带。已经推荐家人购买！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
191,17394958576.0,屏幕大，2K屏幕清晰。声音动听！120W 充电，特别快。包装特别安全，疫情期间，快递运送特别快。价格实惠，24期分期，是值得信赖的产品！让我们用起来放心，安心，用它有恒心！对它有信心！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
192,17369714137.0,"屏幕素质很好，充电速读超级快
田鸡9000果然是名不虚传，打王者荣耀基本上都是120帧运行。
手机续航很顶，
要是有一个无线充电就好了
拍照不太行，值得购买，符合预期",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
193,17319007998.0,"外形外观：黑色的背面好好看，biu灵，biu灵的女孩子会很喜欢。
运行速度：做为一个王者爱好者，这款手机运行的速度我爱了，续航方面表示&ldquo;大电池杠杠的&rdquo;、&ldquo;大电池还是比较耐用&rdquo;，这点认可度也很高。的确5500mAh容量比一般4500mAh容量可是大了不少，再加上它所标配的67W有线快充，充电速度也不慢，",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
194,17311638605.0,"外观：银迹太漂亮了，是最好看的颜色。
屏幕：2K屏是超级的清晰，色彩鲜艳夺目。
使用：运行特别的流畅，而且反应速度也非常快。
拍照：1亿像素就是好，我很满意。
价格：妥妥的良心价，是实在在的亲民价，性价比最高的手机。
     我是非常的喜欢这款手机。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
195,17312947978.0,"外形外观：非常不错，幽芒的颜色很漂亮
屏幕音效：也还行，比老手机强多了
拍照效果：一亿，像素可以了
运行速度：非常快，打王者吃鸡不卡的
待机时间：续航快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
196,17313107633.0,"充电是真的快，零百加速只需20分钟。
屏幕是真的好，比看妹妹还养眼，打游戏很跟手，一局王者fps均115+，最高温35.7℃。
续航真的顶，硬是坚持了11h。
信号是真的不戳。
颜色的话一开始想选幽芒的，最后跟风酷友选择了银色，手感还不赖。
再见了 Redmi K20 Pro 陪伴我三年的朋友
不要求相机有多好，能拍照就行(苦力活交给女盆友)
【总评】肥肠值得，无脑买，闭眼买，买买买",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
197,17293251030.0,"红米焊门员隆重登场，拿家里的旧手机置换的京东就是牛，很快就到货了，这个配色比其他颜色都好看，上手体验了一把速度快屏幕清晰声音够大，满满的堆料，非常喜欢?大爱
屏幕音效：很完美！
运行速度：快快快！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
198,17331584959.0,终于收到货了，2K屏，120的高刷简直太爽了，屏幕流畅的一批，120W的快充就不多说了，幻境色的外观简直不要太好看，先上手体验了，今晚要睡不着了，哈哈哈,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
199,17297035873.0,红米：干翻小米（哈哈哈），天玑9000，12＋256，可以说非常实惠了，对比k40，提升挺大的，2k屏，120W快充。一亿像素相机，虽然只用来扫码，但还是挺好的，12＋3的运存，内存融合技术也挺不错的，,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
200,17307238177.0,每年的红米k系列出新品都会换新手机，这次的k50p有个小惊喜，官网看参数比k40p要重和厚一些，所以买之前心里还打怵，结果到手真是惊喜，又薄又轻，和40p几乎一样，然后屏幕确实好了许多，尤其是太阳底下，很清晰，屏幕很亮，充电也是嘎嘎的快，总的来说，红米一直没让我失望过，明年k60继续换,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
201,17395655119.0,京东商城送货很快，而且是送货****，售后服务也好！天机9000处理器比骁龙888要冷静很多，120w充电感知很强，再也不用等手机充电了！屏幕也是优点，有120hz和dc调光，晚上玩手机眼睛不会太累！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
202,17313773834.0,"外形外观：外观特别漂亮
屏幕音效：非常的清晰
运行速度：进行也很快
待机时间：待机时间很长",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
203,17313281217.0,"Redmi k50pro 8+256G 银迹
我是一名大三在校学生，家人们相信我，真的很牛！中国人不骗中国人！我想说一说我的看法，性能方面我就不说了网络上专业测评很多，大家可以去种草。
外观：我底下的图是佩戴了自带的透明手机壳后拍的，自己觉得银色很不错挺好看的，摄像头模组也很漂亮！屏幕边框很窄，比较精致，中心打孔的前置摄像头也不影响使用。整体很美观！我舍友都夸啦！
屏幕：这个2K屏简直不要太爽！我一直用的是护眼模式，给我感觉整个屏幕很细腻很精致真的很好哇信我呜呜呜！我最满意屏幕了真的很高级！有高端旗舰机那味了！
拍照：其实真的一般我不吹牛，我和舍友出去吃美食，原相机拍食物最我拍的丑颜色不鲜艳，但是拍风景真的很不错！前置自拍的话也一般吧，原相机拍的人比较灰，说不上来，反正拍照这方面给我感觉一般。毕竟我平时很少用这个功能，所以这点真的我能接受！
充电和待机：家人们这个简直太牛了好吧我的妈！我是考研党，一天不着宿舍，我每天上午4h的课，上课走神也玩手机呢还刷视频，到教室前100％，中午回宿舍84％，随便蹲个厕所的功夫就能充满电！晚上也不用带充电器上床!充电器120w很重不方便带，但是够用！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
204,17312091171.0,买来几天了，用起来很流畅，屏幕看起来很舒服，充电特别快，在学校，和舍友的某果十二pro对比，效果好的不是一点，小米很不错，建议入手。图一是某果，大家可以对比看一看。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
205,17300108745.0,"外形外观：喜欢
屏幕音效：显示很细腻
拍照效果：我觉得真不错，对拍照没有什么特殊需求
运行速度：真不愧是旗舰芯，速度很快
待机时间：还在观察中",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
206,17365689909.0,"屏幕音效：三星2k直屏，120hz高刷，显示清晰细腻，这个价位用这块屏幕很良心了，性价比无敌
运行速度：日常使用跟玩游戏很流畅，打王者开了最高画质120帧都稳定流畅不卡，用着真是很爽
其他特色：使用感受很顺滑，电池也很耐用，5500毫安的电池用一天没压力，120w的快充我午休就吃饭的功夫都快充满了，这机太香了，我很满意！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
207,17325081714.0,"苦等一周的时间，终于发货了。相当哇塞的手机，充电速度飞快！屏幕调整为2k高刷后，用起来真的很舒服，王者荣耀120帧无压力，非常丝滑，丝般顺滑！  512GB还有啥压力，毫无波澜????
运行速度：飞快，毫无卡顿
拍照效果：成像速度快
屏幕音效：细腻丝滑
外形外观：整体中规中矩吧
待机时间：挺优秀的，用的慢，充的快，实在是没毛病",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
208,17320558316.0,"第一次用红米，满满的期待。
造型绝对可以；
屏幕也很好，显示很清晰。
拍照画面比较暗；
在系统升级前有卡顿，升级后改善不少；
游戏只体验了王者荣耀，流畅三句后不发热。效果全开。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
209,17320536592.0,手机我觉得是真的漂亮，特别喜欢2K直屏，感觉看电视，是真的爱了。后背的碎花也是很好看，是我喜欢的。充电没的说，吃个饭的时间，电也满了。手机性能好了，耗电其实也挺快的，充一次电，对于打游戏的人来说，玩不了一天，看电视也不行。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
210,17303540968.0,"盼了一个多月终于买到了k50pro。2k屏真清晰，以前用的是k30pro,充满电要50多分钟，这次120w的充电速度太快了，10几分钟充满电。做工很好，比K30Pr0轻一些，手感好，满意！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
211,17320709419.0,"外形外观：高端大气上档次，手感很不错，外形很漂亮，颜色很喜欢。
屏幕音效：放音乐立体感強，有音响效果
拍照效果：拍照很清晰
运行速度：不卡顿
其他特色：充电很速度，?",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
212,17327709209.0,心心念念的手机终于到了，非常满意，质量也很好，性价比高。总的来讲还行吧，充电是真的快，2k和双杜比是我下决心买的重要因素，不过杜比视界的选项是没得调吗，有片源也不行？杜比全景声配上音源还是香的&hellip;&hellip;屏幕多了个认证，其实也不咋能看出来,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
213,17374201595.0,"外形外观：外观挺好看的，方方正正。后盖手感特别好，基本上不留指纹
屏幕音效：双扬声器还是不错的。洗手间听歌很好。
拍照效果：拍照效果一般般吧。
运行速度：运行速度还是很快的。目前还没有感觉到卡。
待机时间：大电池不错哟，回血也快120w充电棒棒哒。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
214,17310725778.0,性价比非常高的机子，用着非常不错，使用流畅，充电也非常快，简直神速啊。外观也很好看，银色耐看。屏幕更是清晰异常。值得,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
215,17330703354.0,第一次使用小米产品，体验很好，屏幕质量不错，非常清晰，色彩很棒。一亿像素很给力，日常拍摄足够。配置很给力，APP用起来很流畅，打游戏发热控制的很好。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
216,17327385117.0,"收到手机太惊喜了，颜色绝绝子?，运行速度快，外观精致手感好，拍照非常清晰，太爱了，买他准没错
外形外观：精致，手感好，漂亮，颜色高级
拍照效果：清晰
运行速度：快
屏幕音效：棒",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
217,17312898356.0,手感还不错，拍照很清晰，顶部和底下双扬声器，侧边指纹,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
218,17382444373.0,体验了半个月才来评论，这款外观颜值高，看视频很流畅，画质很清晰，声音效果也不错，拍照效果杠杠的?玩游戏再也不担心断电了，还是一如既往的喜欢小米！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
219,17328019995.0,拿到手机拆开那一瞬间，这外观实在是太好看了，送的配件也是完美的很，充上电120w的快充，以后在也不用担心电量问题了，2k的屏幕，视觉效果就是不一样，在加上天玑9000的芯片，这手机完美啊，打游戏放技能行云流水的，这手机买的真值,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
220,17350146552.0,非常满意 性能强悍 充电快 电池还大 2020年最值得入手的手机 抢到了 等了好久才发货 不过当我打开的一瞬间所有期待都是值得的,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
221,17322318882.0,"外形外观：刚到手被盒子上的小恐龙可爱到了，打开后被靓丽的黑色外壳及蓝色暗系花纹惊艳了！
屏幕音效：音质清晰
拍照效果：可以满足日常拍照需求
运行速度：运行很顺畅
其他特色：充电很快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
222,17285634783.0,"外形外观：大气上档次
屏幕音效：颜色靓丽，120赫兹显示很顺滑。
运行速度：9100芯片流畅不卡顿
其他特色：待后续使用再来追评",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
223,17328367174.0,"外观简约不错，2k屏幕打游戏体验不错 ，一亿像素拍照很清晰，
运行内存比较大，不会卡顿，注意电池待机时间长充电快不打游戏可以用二天，打游戏也挺耐用。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
224,17287752964.0,不愧是2k屏幕超清晰，一亿像素特别奈斯，120w快充充电超快，5000毫安大电池，超级满意，颜色也特好看,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
225,17337356889.0,"宝贝收到，物流很快，试了一下超级快充非常棒??  ，
外形外观：手感不错，造型时尚，爱不释手
屏幕音效：上下双喇叭，看视频都是立体声，
运行速度：天玑9000，玩游戏一点都不卡，超赞??
待机时间：充满玩一天是没问题，关键是充电贼快！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
226,17338398608.0,"外形外观：还可以
屏幕音效：2k屏相当不错
拍照效果：够用
运行速度：还可以
待机时间：一天两充，很不错了，2k+120hz",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
227,17313605541.0,手机非常好，外观漂亮，系统流畅，运行速度快，屏幕非常好，很清晰，用了几天了，越来越顺手，特别特别喜欢。以前用的k20pro的，也是首发买的，直到现在还很好用，支持红米系列！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
228,17377915990.0,手机收到了，手感很好，屏幕很清晰，用起来很爽，尤其是充电和照相，那是，相当的爽歪歪。喜欢。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
229,17290450570.0,"屏幕音效：屏幕很棒，2k直屏

其他特色：120w充电，再也不担心电量不足了

运行速度：天机9000速度很流畅，果然狠",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
230,17296854810.0,手机非常满意，冲着这个颜值和配置来的，三星换小米没有让我失望，非常不错，还有人脸识别是我没想到的，本以为没这功能，比较惊喜,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
231,17318104755.0,"外形外观：好看
屏幕音效：好听
拍照效果：好美
运行速度：好快
待机时间：好长
其他特色：完美，一直喜欢小米手机，惊喜挺多的，屏幕显示也好，",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
